亻心 [rx]	僽
亻夂 [rw]	僾
亻土 [rt]	僿
亻我 [rw]	儀
亻乀 [rn]	儂
亻一 [ra]	儃
亻心 [rx]	億
亻田 [rt]	儅
亻攵 [rw]	儆
亻𧘇 [ry]	儇
亻日 [ro]	儈
亻人 [rr]	儉
亻人 [rr]	儊
亻口 [rk]	儋
亻攵 [rw]	儌
亻車 [ri]	儎
亻八 [rb]	儐
亻灬 [rh]	儑
亻而 [re]	儒
亻土 [rt]	儓
亻寸 [rc]	儔
亻一 [ra]	儕
亻皿 [rm]	儖
亻人 [rr]	儗
亻皿 [rm]	儘
亻辶 [rz]	儙
亻夕 [rx]	儚
亻丁 [rd]	儜
亻木 [rm]	儝
亻八 [rb]	償
亻乛 [rv]	儠
亻田 [rt]	儡
亻心 [rx]	儢
亻八 [rb]	儣
亻氺 [ru]	儤
亻八 [rb]	儥
亻灬 [rh]	儦
亻勿 [rw]	儩
亻夂 [rw]	優
亻儿 [re]	儭
亻馬 [rm]	儯
亻灬 [rh]	儰
亻三 [rs]	儱
亻日 [ro]	儲
亻丶 [rd]	儳
亻𧘇 [ry]	儴
亻黑 [rh]	儵
亻口 [rk]	儶
亻匕 [rb]	儷
亻龶 [rf]	儸
亻八 [rb]	儹
亻龶 [rf]	儺
亻黑 [rh]	儻
亻攵 [rw]	儼
亻小 [rx]	儽
亻𧘇 [ry]	儾
丿乛 [pv]	儿
一儿 [ae]	兀
厶儿 [se]	允
二儿 [ee]	元
口儿 [ke]	兄
亠儿 [we]	充
儿丶 [ed]	兆
乂儿 [xe]	兇
⺧儿 [ne]	先
⺌兀 [xw]	光
十儿 [ue]	克
⺈乛 [dv]	免
丷儿 [be]	兑
臼儿 [je]	兒
一乛 [av]	兓
⺈丶 [dd]	兔
凹儿 [ae]	兕
亠儿 [we]	兖
亠儿 [we]	兗
⺌儿 [xe]	党
白儿 [pe]	兜
⺧儿 [ne]	兟
十儿 [ue]	兢
丿乀 [pn]	入
人王 [rw]	全
一入 [ar]	兩
丿乀 [pn]	八
八厶 [bs]	公
亠八 [wb]	六
八乛 [bv]	兮
丷三 [bs]	兰
艹八 [cb]	共
丷天 [bt]	关
𭕄八 [xb]	兴
丘八 [qb]	兵
八 [qb]	其
八 [qb]	具
丨八 [lb]	典
丷幺 [by]	兹
⺶丨 [yl]	养
丷乀 [bn]	兼
丷口 [bk]	兽
丨八 [lb]	冀
丷乀 [bn]	冁
丨乛 [lv]	冂
冂二 [ke]	冃
丨丶 [ld]	内
冂一 [ka]	円
𠂇冂 [un]	冇
冂乂 [kx]	冈
丨一 [la]	冉
冂口 [kk]	冋
丿一 [pa]	册
一冉 [ar]	再
丨冂 [lk]	冎
冂口 [kk]	冏
冂目 [ko]	冒
一冉，一再 [ar,az]	冓
冂于 [ky]	冔
冂乛 [kv]	冕
丶乛 [dv]	冖
冖几 [bj]	冗
丶乛 [dv]	冘
冖与 [by]	写
冖山 [be]	冚
冖车 [bi]	军
丶乀 [dn]	农
冖米 [bm]	冞
冖匕 [bb]	冟
冖寸 [bc]	冠
冖豕 [bu]	冡
冖乀 [bn]	冢
冖又 [by]	冣
冖丶 [bd]	冤
冖八 [bb]	冥
冖木 [bm]	冧
冖巾 [bj]	冪
丶一 [da]	冫
夂丶 [wd]	冬
冫工 [dg]	冮
冫马 [dm]	冯
冫水 [du]	冰
冫互 [dh]	冱
冫中 [dv]	冲
冫夬 [dg]	决
冫儿 [de]	况
冫口 [dk]	冶
冫龴 [ds]	冷
冫丶 [dd]	冹
冫民 [dm]	冺
冫东 [dd]	冻
冫儿 [de]	冼
冫刂 [dd]	冽
冫口 [dk]	冾
冫聿 [dy]	冿
冫丨 [dl]	净
冫 [dh]	凃
冫女 [dn]	凄
冫口 [dk]	凅
冫龶 [df]	准
冫厶 [ds]	凇
冫小 [dx]	凉
冫月 [do]	凊
冫口 [dk]	凋
冫夂 [dw]	凌
冫東 [dd]	凍
冫金 [dj]	凎
冫口 [dk]	减
冫土 [dt]	凐
冫天 [dt]	凑
冫木 [dm]	凓
冫口 [dk]	凔
冫八 [db]	凕
冫龶 [df]	凗
冫斤 [dj]	凘
冫干 [dg]	凙
冫小 [dx]	凚
冫小 [dx]	凛
冫禾 [dh]	凜
冫人 [dr]	凝
冫灬 [dh]	凞
丿乛 [pv]	几
几丶 [jd]	凡
几又 [jy]	凤
丿几 [pj]	凫
亻几 [rj]	凭
山几 [ej]	凯
几王 [jw]	凰
山几 [ej]	凱
乛几 [vj]	凳
乛丨 [vl]	凵
乂凵 [xk]	凶
丨一 [la]	凸
丨一 [la]	凹
乛凵 [vk]	出
一凵 [ak]	击
水凵 [uk]	凼
了凵 [lk]	函
业凵 [yk]	凿
乛丿 [vp]	刀
乛一 [va]	刁
刀丶 [dd]	刃
刃丶，刀丶 [rd,dd]	刅
八刀 [bd]	分
七刀 [qd]	切
乂刂 [xd]	刈
干刂 [gd]	刊
丿刂 [pd]	刋
寸刂 [cd]	刌
⺈彐 [de]	刍
勿刂 [wd]	刎
气刂 [qd]	刏
丹刂 [dd]	刐
开刂 [kd]	刑
戈刂 [gd]	划
二刂 [ed]	刓
夬刂 [gd]	刔
刀刀 [dd]	刕
月刂 [od]	刖
歹刂 [dd]	列
文刂 [wd]	刘
冂刂 [kd]	则
冂刂 [kd]	刚
人刂 [rd]	创
弗刂 [fd]	刜
衤刀 [pd]	初
且刂 [qd]	刞
册刂 [cd]	删
民刂 [md]	刡
人刂 [rd]	刢
半刂 [bd]	判
勹刂 [bd]	刨
禾刂 [hd]	利
口刂 [kd]	别
戋刂 [jd]	刬
乛刂 [vd]	刭
千刂 [qd]	刮
一刂 [ad]	刯
一刂 [ad]	到
土刂 [td]	刲
大刂 [dd]	刳
耳刂 [ed]	刵
丿刂 [pd]	制
尸刂 [ud]	刷
龹刀 [jd]	券
乂刂 [xd]	刹
一刂 [ad]	刺
亠刂 [wd]	刻
人刂 [rd]	刽
山刂 [ed]	刿
山刂 [ed]	剀
几刂 [jd]	剁
文刂 [wd]	剂
丷刂 [bd]	剃
一刂 [ad]	剄
一刂 [ad]	剅
丶刂 [dd]	剆
目刂 [od]	則
口刂 [kd]	剈
人刂 [rd]	剉
⺌刂 [xd]	削
十刂 [ud]	剋
束刂 [ud]	剌
丷刂 [bd]	前
口刂 [kd]	剐
人刂 [rd]	剑
艹刂 [cd]	剒
日刂 [od]	剔
非刂 [fd]	剕
立刂 [ld]	剖
